name,tripadvisor/google_ratings,tripadvisor/google_review_count
The Done Right Inn,2,1
241 pizza,3,5
Slumdog Bar & Grill,3.1,63
Sport Chek Toronto Eaton Centre,3.4,363
Chelsea Hotel,3.5,8135
Bond Place Hotel Downtown Toronto,3.5,3128
"The Westin Prince, Toronto",3.5,1185
The Strathcona Hotel,3.5,2134
Delta Chelsea Inn,3.5,8144
Pantages Hotel Toronto Centre,3.5,1151
Holiday Inn Toronto Downtown Centre,3.5,1967
Crowne Plaza Toronto Airport,3.5,1323
Toronto Don Valley Hotel and Suites,3.5,1079
The Beverley,3.5,223
Delta Hotels by Marriott Toronto East,3.5,968
Holiday Inn Toronto International Airport,3.5,971
Momiji Sushi Bar and Grill,3.5,57
Holiday Inn Toronto Bloor-Yorkville,3.9,2309
Porter Airlines,3.9,998
Chuck E. Cheese's,3.9,1063
The Drake Hotel,4,374
"The Westin Harbour Castle, Toronto",4,5264
Hilton Toronto,4,3809
The Rex Hotel Jazz & Blues Bar,4,332
Courtyard by Marriott Toronto Downtown,4,896
Thompson Toronto,4,2090
Hyatt Regency Toronto,4,3673
Toronto Marriott City Centre Hotel,4,2443
The Broadview Hotel,4,122
The Grand Hotel & Suites,4,2349
DoubleTree by Hilton,4,2656
Hotel Ocho,4,192
dbar,4,198
Marriott Downtown at CF Toronto Eaton Centre,4,2444
Executive Hotel Cosmopolitan,4,1235
Hilton Garden Inn,4,1864
Porter Airport Lounge,4,49
Toronto Marriott Bloor Yorkville Hotel,4,1326
Holiday Inn Express Toronto Downtown,4,217
Hotel Victoria,4,1276
Toronto Airport Marriott Hotel,4,936
The Westin Toronto Airport,4,349
HI-Toronto Hostel,4,518
Hilton Garden Inn,4,1865
Thai Indeed,4,32
Border MX Mexican Grill,4,605
Pho Ling's,4,29
Sheraton Gateway Hotel in Toronto International Airport,4.1,1680
D'ornellas Bike Shop,4.1,131
Mom's Recipe Chicken,4.1,112
K9 Couture,4.1,117
Barsa Taberna,4.2,631
Billy's Souvlaki Place,4.2,222
Greek In The Village,4.3,356
Bella Jin Hair Salon,4.3,110
Wheels of Bloor,4.3,113
Metropolitan Hotel,4.4,562
Raijin Ramen,4.4,5
Shandra's Roti Shop,4.4,758
Bamboo Tattoo Studio,4.4,139
Sushi Kizoku,4.4,127
Mel Lastman Square,4.4,960
Route 401 Diner,4.4,248
Jacobs & Co. Steakhouse,4.5,771
Fairmont Royal York,4.5,429
Sheraton Centre Toronto Hotel,4.5,2341
Gladstone Hotel,4.5,1020
One King West Hotel & Residence,4.5,2566
Shangri-La Hotel,4.5,1688
Delta Hotels by Marriott Toronto,4.5,2737
The Ritz-Carlton Toronto,4.5,1965
The Omni King Edward Hotel,4.5,4424
InterContinental Toronto Centre,4.5,3197
Park Hyatt Toronto,4.5,1850
Residence Inn Toronto Downtown/Entertainment District,4.5,1898
Cambridge Suites Toronto,4.5,2091
InterContinental Toronto Yorkville,4.5,78
Four Seasons Toronto,4.5,2885
Le Germain Hotel,4.5,1513
Soho Metropolitan Hotel,4.5,1116
Windsor Arms Hotel,4.5,418
Radisson Admiral Hotel Toronto-Harbourfront,4.5,2348
The Planet Traveler,4.5,434
Le Germain Hotel Toronto Maple Leaf Square,4.5,1513
Le M̩ridien King Edward,4.5,4426
Holiday Inn Toronto-Yorkdale,4.5,1488
Hot Yoga Wellness Brampton,4.5,46
V Line Cosmetic Clinic,4.5,33
American Airlines Admirals Club,4.5,6
An Eyebrow Threading Lady,4.5,93
Sir Casimir Gzowski Park,4.5,1489
Uptown Hair Spa,4.6,60
Crown Pastries,4.6,405
Kappo Sushi,4.6,11
Falafel World,4.6,366
Amico Chef,4.7,141
College Street Dental,4.7,809
Mikasa Japanese Restaurant,5,1